t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),window_start,window_end
453,467,1.090218540859125,0.0029081181299825615,1.0845260849645313,1.0854395264006416,1.0882556381193405,1.0902159550939245,1.0921786247865246,1.0950063755877577,1.0959256914430722,2021-05-24,2021-06-07
454,468,1.0774964289881843,0.0028632628018921253,1.0718917470295992,1.072791110366665,1.0755638076602865,1.0774938927785593,1.0794262855255632,1.0822103988414686,1.0831155240159027,2021-05-25,2021-06-08
455,469,1.0704907873398064,0.0028313917917753527,1.0649484579212627,1.0658378237047914,1.0685796843882305,1.0704882910467508,1.072399169014988,1.0751522660476909,1.0760473029849384,2021-05-26,2021-06-09
456,470,1.056112219214669,0.002793732601182527,1.0506436069968044,1.0515211433159466,1.0542265348882898,1.0561097557963353,1.0579952181022751,1.0607116980477247,1.061594830834803,2021-05-27,2021-06-10
457,471,1.0566189469237361,0.0027784700320651495,1.0511801691415594,1.0520529278770359,1.0547435722702287,1.0566165115164154,1.058491666674026,1.0611932733567626,1.0620715649239305,2021-05-28,2021-06-11
458,472,1.0488053274199998,0.0027546397026567493,1.0434131886679947,1.0442784652073014,1.0469460390059038,1.0488029157755026,1.0506619868353724,1.0533404159619646,1.054211171347868,2021-05-29,2021-06-12
459,473,1.0394639175659395,0.0027301990824529464,1.0341196209550103,1.0349772202096466,1.0376211256971386,1.0394615272363805,1.0413041036720059,1.0439587685443885,1.0448217982217025,2021-05-30,2021-06-13
460,474,1.0237987641923874,0.002698855776508444,1.0185158458180066,1.0193635898579556,1.0219771233150823,1.0237963926913471,1.0256178198324373,1.028242027923262,1.0290951596106825,2021-05-31,2021-06-14
461,475,1.0224223451723005,0.0026881661131262285,1.0171603338491542,1.01800472716063,1.020607922835234,1.0224199892528425,1.024234199258013,1.0268479994302788,1.027697744990526,2021-06-01,2021-06-15
462,476,1.0304738131832707,0.002692028248433252,1.0252041989722016,1.02604982255186,1.02865679221942,1.030471468949946,1.032288278635131,1.0349058001985685,1.0357567494781075,2021-06-02,2021-06-16
463,477,1.0259720992343124,0.002680551462782963,1.0207249514010288,1.0215669695967142,1.0241628245483994,1.0259697647480746,1.0277788290337977,1.030385192007636,1.0312325137594758,2021-06-03,2021-06-17
464,478,1.0288852781497093,0.002678653132132678,1.0236418228047328,1.0244832540654827,1.0270772892502347,1.028882953569288,1.030690732961351,1.0332952315800574,1.0341419438926398,2021-06-04,2021-06-18
465,479,1.0308976568421695,0.0026756533073970124,1.0256600533720834,1.0265005504076667,1.0290916965817525,1.030895341992997,1.032701093623048,1.035302659428655,1.0361484154083347,2021-06-05,2021-06-19
466,480,1.0236868509944113,0.002660524847191067,1.018478870391585,1.019314611628971,1.0218911001590762,1.0236845461262698,1.0254800892307998,1.0280669524656696,1.0289079299719417,2021-06-06,2021-06-20
467,481,1.01398974632677,0.0026420589866565252,1.008817929309153,1.0096478632872914,1.012206456051447,1.013987451605051,1.0157705350640378,1.0183394568617372,1.0191746040578056,2021-06-07,2021-06-21
468,482,1.0281273742032784,0.002655268512411667,1.0229296417554676,1.0237637482591284,1.026335179043715,1.028125088348995,1.0299170774914101,1.032498797395318,1.0333380969716257,2021-06-08,2021-06-22
469,483,1.0377859319937968,0.002663442256151316,1.0325721585012722,1.0334088489363527,1.0359882276920824,1.0377836534500675,1.039581152393507,1.0421707873621913,1.0430126542615987,2021-06-09,2021-06-23
470,484,1.0273432009566656,0.0026449470642661557,1.0221656526667426,1.0229965249513322,1.0255579762099554,1.0273409311075317,1.0291259512795872,1.03169761961493,1.0325336486111945,2021-06-10,2021-06-24
471,485,1.0183448946871343,0.0026271668176490195,1.0132021648368172,1.0140274464514956,1.0165716683211043,1.0183426354647427,1.0201156582138753,1.0226700493269623,1.0235004635111564,2021-06-11,2021-06-25
472,486,1.005481918496298,0.0026047967672361786,1.0003830050122418,1.0012012488361002,1.003723785894802,1.0054796691724082,1.0072375990491325,1.0097702607960362,1.0105936147016847,2021-06-12,2021-06-26
473,487,0.9923990576866221,0.0025834791632192845,0.9873419046420624,0.9881534395842436,0.9906553076799581,0.9923968158593199,0.9941403638168608,0.9966523228570302,0.9974689508500145,2021-06-13,2021-06-27
474,488,0.9624456969639126,0.002541939842896426,0.957469948255889,0.9582683982402114,0.9607299669929722,0.9624434591041511,0.9641589873835622,0.9666306292220255,0.967434163243533,2021-06-14,2021-06-28
475,489,0.9577372671038991,0.0025361737919334547,0.9527728219612462,0.9535694540834211,0.9560254258397898,0.9577350284332842,0.9594466679327864,0.9619127164246811,0.9627144344261548,2021-06-15,2021-06-29
476,490,0.949234046856351,0.0025290976098761293,0.9442834920230264,0.9450778858887182,0.9475269743550224,0.9492318007183373,0.9509386707820502,0.9533978695962386,0.9541973663058733,2021-06-16,2021-06-30
477,491,0.913914499336545,0.0024883280846063793,0.9090438860449596,0.9098254191687761,0.9122349188747185,0.9139122410020433,0.9155916179270396,0.9180112828798636,0.9187979465559082,2021-06-17,2021-07-01
478,492,0.8976020641786612,0.0024752419891254907,0.8927571473058848,0.8935345376546334,0.8959313009776517,0.8975997889238877,0.8992703470631054,0.9016773517947659,0.9024599111356858,2021-06-18,2021-07-02
479,493,0.8788818217367552,0.0024626848675107656,0.8740615873413279,0.8748349924869299,0.8772195146513422,0.8788795215359831,0.8805416213113122,0.8829364971716402,0.8837151279824317,2021-06-19,2021-07-03
480,494,0.8583009762792889,0.002451048286864992,0.8535036428988891,0.8542733438257196,0.8566465000688288,0.8582986431292761,0.8599529090600558,0.8623365673106583,0.8631115687576895,2021-06-20,2021-07-04
481,495,0.8396572459019848,0.002445466480027933,0.8348709691635661,0.8356388647022578,0.8380065123325872,0.8396548717970239,0.8413053913956169,0.8436837253804192,0.8444570144819219,2021-06-21,2021-07-05
482,496,0.8304421610714091,0.0024572628812095368,0.8256329047634324,0.8264044611944619,0.8287834440322185,0.83043973740764,0.8320982360094593,0.8344881282764847,0.835265190859452,2021-06-22,2021-07-06
483,497,0.806499175252405,0.002450471195763522,0.8017033958991622,0.8024727461434046,0.8048450075615428,0.8064966934123815,0.8081506374226559,0.8105340701338234,0.8113090586964545,2021-06-23,2021-07-07
484,498,0.7850123121014275,0.002449661336280594,0.7802183084912214,0.780987328320222,0.7833586546951533,0.7850097640151927,0.7866631917703455,0.7890459876266684,0.7898207962740662,2021-06-24,2021-07-08
485,499,0.766950028668468,0.002457352875407366,0.7621411672792331,0.7629125240264777,0.7652911419162891,0.7669474041691503,0.7686060543833688,0.770996485706198,0.7717738048692394,2021-06-25,2021-07-09
486,500,0.7508239968622841,0.002471902970401931,0.7459868687233608,0.7467627101959294,0.7491552483324647,0.7508212841535818,0.7524897881954435,0.7548945368142991,0.755676541099235,2021-06-26,2021-07-10
487,501,0.7368731603696205,0.002493852093991722,0.7319932990729839,0.7327759426403112,0.7351895527305359,0.7368703469980301,0.7385537010767698,0.7409799747545,0.741769009822985,2021-06-27,2021-07-11
488,502,0.7163176337685013,0.0025079360241317176,0.7114104913947826,0.7121974440654585,0.7146244650578579,0.7163147068832595,0.7180076118029899,0.7204478073321097,0.721241409387418,2021-06-28,2021-07-12
489,503,0.7373375070964515,0.002599144572796495,0.7322519607895643,0.733067509833332,0.7355827500445029,0.7373344530687411,0.739088934870841,0.7416179219141831,0.7424404091885656,2021-06-29,2021-07-13
490,504,0.7384710040128317,0.002660452937966758,0.7332656961611136,0.7341004041506418,0.7366748185911427,0.7384678091212459,0.7402637065975167,0.7428525019286171,0.7436944681673262,2021-06-30,2021-07-14
491,505,0.7440722244237933,0.002731538256622424,0.7387280118645556,0.7395849519025902,0.7422280124800663,0.7440688818740407,0.7459127925644313,0.7485708986734942,0.7494354324147504,2021-07-01,2021-07-15
492,506,0.7531533708020423,0.002810215082651198,0.7476553886912278,0.748536947251778,0.7512560092161223,0.7531498755855293,0.755046922158785,0.7577817168404564,0.7586712159369431,2021-07-02,2021-07-16
493,507,0.7442047653509946,0.0028553860665930376,0.7386186953699335,0.7395143098983925,0.742276851368916,0.7442011134786175,0.7461286983292161,0.7489076776586046,0.7498115886181501,2021-07-03,2021-07-17
494,508,0.7330923639913165,0.0028954729926260565,0.7274281807582619,0.7283362452194054,0.7311373248654753,0.7330885519404697,0.7350432474985481,0.737861486001017,0.7387782107911063,2021-07-04,2021-07-18
495,509,0.7237357320601312,0.002939684400025231,0.7179853742875937,0.7189071793528579,0.7217507815755734,0.7237317519075516,0.7257163436739756,0.7285778614149242,0.7295087087072621,2021-07-05,2021-07-19
496,510,0.7252731275349042,0.003008758703347496,0.7193878997899532,0.7203312660397424,0.7232414892113336,0.7252689669782996,0.7273002303245877,0.7302291810514986,0.7311819993752383,2021-07-06,2021-07-20
497,511,0.7239262166452349,0.003075390224706902,0.7179109465549031,0.718875088348999,0.7218495305364181,0.7239218616825782,0.7259981552930282,0.7289922000989661,0.7299662356240304,2021-07-07,2021-07-21
498,512,0.7280666949077137,0.003156510115825487,0.7218930206892781,0.7228824895209911,0.7259351820784155,0.7280621332628887,0.7301932349663284,0.7332664604628966,0.7342662925718401,2021-07-08,2021-07-22
499,513,0.7298165304020487,0.0032349184527178275,0.7234897986938692,0.7245037273330733,0.72763201367412,0.7298117508057275,0.7319958367646598,0.7351456370911249,0.7361704241557362,2021-07-09,2021-07-23
500,514,0.7283067083817057,0.0033076160370521203,0.7218381395265605,0.7228747175137982,0.7260730343972269,0.7283017011915797,0.7305349238949215,0.7337557792121273,0.7348037326785333,2021-07-10,2021-07-24
501,515,0.7252978815354062,0.0033780490106617334,0.7186919414064042,0.719750444255223,0.723016572571874,0.7252926371612255,0.7275734734671666,0.7308632078337128,0.731933625002786,2021-07-11,2021-07-25
502,516,0.7073615561529939,0.003414139344151981,0.7006855874314277,0.7017551806024173,0.7050557699521054,0.7073560632848049,0.70966135443241,0.7129866683566034,0.7140687403829009,2021-07-12,2021-07-26
503,517,0.7177057278236484,0.003520534809557339,0.7108219774519317,0.7119247977417935,0.7153280359791201,0.7176999714496953,0.7200771444921873,0.7235062933997851,0.7246221911845037,2021-07-13,2021-07-27
504,518,0.7093403425496326,0.0035853173802432143,0.7023304294158157,0.7034533406983929,0.7069188014593972,0.709334301969634,0.7117552986435578,0.7152479493469555,0.7163845837910026,2021-07-14,2021-07-28
505,519,0.7019427158708691,0.0036542668518925498,0.6947985199600365,0.6959428165474196,0.6994745060811738,0.7019363745914092,0.7044040128640575,0.7079642458527073,0.7091229487382673,2021-07-15,2021-07-29
506,520,0.6980097435334632,0.0037349160354166653,0.690708389647693,0.6918777359694832,0.6954869630726688,0.6980030819387157,0.7005252620138436,0.7041644743794507,0.7053489546998433,2021-07-16,2021-07-30
